,CO2,Aktive,Distanz,timestamp,Teamplatzierung
0,"1.843,5",79,12.541,1599689700.0,7
0,"1.843,5",79,12.541,1599690600.0,7
0,"1.843,5",79,12.541,1599691500.0,7
0,"1.843,5",79,12.541,1599692400.0,7
0,"1.843,5",79,12.541,1599693300.0,7
0,"1.843,5",79,12.541,1599694200.0,7
0,"1.843,5",79,12.541,1599695100.0,7
0,"1.843,5",79,12.541,1599696000.0,7
0,"1.846,2",79,12.559,1599696900.0,7
0,"1.846,2",79,12.559,1599697800.0,7
0,"1.846,2",79,12.559,1599698700.0,7
0,"1.846,2",79,12.559,1599699600.0,7
0,"1.846,2",79,12.559,1599700500.0,7
0,"1.846,2",79,12.559,1599701400.0,7
0,"1.846,2",79,12.559,1599702300.0,7
0,"1.846,2",79,12.559,1599703200.0,7
0,"1.846,2",79,12.559,1599704100.0,7
0,"1.846,2",79,12.559,1599705000.0,7
0,"1.846,2",79,12.559,1599705900.0,7
0,"1.846,2",79,12.559,1599706800.0,7
0,"1.846,2",79,12.559,1599707700.0,7
0,"1.846,2",79,12.559,1599708600.0,7
0,"1.846,2",79,12.559,1599709500.0,7
0,"1.846,2",79,12.559,1599710400.0,7
0,"1.846,2",79,12.559,1599711300.0,7
0,"1.846,2",79,12.559,1599712200.0,7
0,"1.846,2",79,12.559,1599713100.0,7
0,"1.846,2",79,12.559,1599714000.0,7
0,"1.846,2",79,12.559,1599714900.0,7
0,"1.846,2",79,12.559,1599715800.0,7
0,"1.846,2",79,12.559,1599716700.0,7
0,"1.846,2",79,12.559,1599717600.0,7
0,"1.846,2",79,12.559,1599718500.0,7
0,"1.846,2",79,12.559,1599719400.0,7
0,"1.846,2",79,12.559,1599720300.0,7
0,"1.846,2",79,12.559,1599721200.0,7
0,"1.846,2",79,12.559,1599722100.0,7
0,"1.846,2",79,12.559,1599723000.0,7
0,"1.846,2",79,12.559,1599723900.0,7
0,"1.846,2",79,12.559,1599724800.0,7
0,"1.865,4",79,12.690,1599725700.0,7
0,"1.865,4",79,12.690,1599726600.0,7
0,"1.865,4",79,12.690,1599727500.0,7
0,"1.865,4",79,12.690,1599728400.0,7
0,"1.865,4",79,12.690,1599729300.0,7
0,"1.865,4",79,12.690,1599730200.0,7
0,"1.865,4",79,12.690,1599731100.0,7
0,"1.865,4",79,12.690,1599732000.0,7
0,"1.940,5",80,13.201,1599732900.0,7
0,"1.940,5",80,13.201,1599733800.0,7
0,"1.940,5",80,13.201,1599734700.0,7
0,"1.940,5",80,13.201,1599735600.0,7
0,"1.940,5",80,13.201,1599736500.0,7
0,"1.940,5",80,13.201,1599737400.0,7
0,"1.940,5",80,13.201,1599738300.0,7
0,"1.940,5",80,13.201,1599739200.0,7
0,"1.948,4",80,13.254,1599740100.0,7
0,"1.948,4",80,13.254,1599741000.0,7
0,"1.948,4",80,13.254,1599741900.0,7
0,"1.948,4",80,13.254,1599742800.0,7
0,"1.948,4",80,13.254,1599743700.0,7
0,"1.948,4",80,13.254,1599744600.0,7
0,"1.948,4",80,13.254,1599745500.0,7
0,"1.948,4",80,13.254,1599746400.0,7
0,"1.974,3",80,13.430,1599747300.0,7
0,"1.974,3",80,13.430,1599748200.0,7
0,"1.974,3",80,13.430,1599749100.0,7
0,"1.974,3",80,13.430,1599750000.0,7
0,"1.974,3",80,13.430,1599750900.0,7
0,"1.974,3",80,13.430,1599751800.0,7
0,"1.974,3",80,13.430,1599752700.0,7
0,"1.974,3",80,13.430,1599753600.0,7
0,"1.974,3",80,13.430,1599754500.0,7
0,"1.974,3",80,13.430,1599755400.0,7
0,"1.974,3",80,13.430,1599756300.0,7
0,"1.974,3",80,13.430,1599757200.0,7
0,"1.974,3",80,13.430,1599758100.0,7
0,"1.974,3",80,13.430,1599759000.0,7
0,"1.974,3",80,13.430,1599759900.0,7
0,"1.974,3",80,13.430,1599760800.0,7
0,"1.974,3",80,13.430,1599761700.0,7
0,"1.974,3",80,13.430,1599762600.0,7
0,"1.974,3",80,13.430,1599763500.0,7
0,"1.974,3",80,13.430,1599764400.0,7
0,"1.974,3",80,13.430,1599765300.0,7
0,"1.974,3",80,13.430,1599766200.0,7
0,"1.974,3",80,13.430,1599767100.0,7
0,"1.974,3",80,13.430,1599768000.0,7
0,"1.974,3",80,13.430,1599768900.0,7
0,"1.974,3",80,13.430,1599769800.0,7
0,"1.974,3",80,13.430,1599770700.0,7
0,"1.974,3",80,13.430,1599771600.0,7
0,"1.974,3",80,13.430,1599772500.0,7
0,"1.974,3",80,13.430,1599773400.0,7
0,"1.974,3",80,13.430,1599774300.0,7
0,"1.974,3",80,13.430,1599775200.0,7
0,"1.974,3",80,13.430,1599776100.0,7
0,"1.974,3",80,13.430,1599777000.0,7
0,"1.974,3",80,13.430,1599777900.0,7
0,"1.974,3",80,13.430,1599778800.0,7
0,"1.974,3",80,13.430,1599779700.0,7
0,"1.974,3",80,13.430,1599780600.0,7
0,"1.974,3",80,13.430,1599781740.0,7
0,"1.974,3",80,13.430,1599782400.0,7
0,"1.974,3",80,13.430,1599783300.0,7
0,"1.974,3",80,13.430,1599784200.0,7
0,"1.974,3",80,13.430,1599785100.0,7
0,"1.974,3",80,13.430,1599786000.0,7
0,"1.974,3",80,13.430,1599786900.0,7
0,"1.974,3",80,13.430,1599787800.0,7
0,"1.974,3",80,13.430,1599788700.0,7
0,"1.974,3",80,13.430,1599789600.0,7
0,"1.974,3",80,13.430,1599790500.0,7
0,"2.071,4",80,14.091,1599791400.0,7
0,"2.071,4",80,14.091,1599792300.0,7
0,"2.071,4",80,14.091,1599793200.0,7
0,"2.071,4",80,14.091,1599794100.0,7
0,"2.071,4",80,14.091,1599795000.0,7
0,"2.071,4",80,14.091,1599795900.0,7
0,"2.071,4",80,14.091,1599796800.0,7
0,"2.071,4",80,14.091,1599797700.0,7
0,"2.071,4",80,14.091,1599798600.0,7
0,"2.071,4",80,14.091,1599799500.0,7
0,"2.071,4",80,14.091,1599800400.0,7
0,"2.071,4",80,14.091,1599801300.0,7
0,"2.071,4",80,14.091,1599802200.0,7
0,"2.071,4",80,14.091,1599803100.0,7
0,"2.071,4",80,14.091,1599804000.0,7
0,"2.071,4",80,14.091,1599804900.0,7
0,"2.071,4",80,14.091,1599805800.0,7
0,"2.071,4",80,14.091,1599806700.0,7
0,"2.071,4",80,14.091,1599807600.0,7
0,"2.071,4",80,14.091,1599808500.0,7
0,"2.071,4",80,14.091,1599809400.0,7
0,"2.071,4",80,14.091,1599810300.0,7
0,"2.071,4",80,14.091,1599811200.0,7
0,"2.071,4",80,14.091,1599812100.0,7
0,"2.071,4",80,14.091,1599813000.0,7
0,"2.071,4",80,14.091,1599813900.0,7
0,"2.071,4",80,14.091,1599814800.0,7
0,"2.071,4",80,14.091,1599815700.0,7
0,"2.071,4",80,14.091,1599816600.0,7
0,"2.071,4",80,14.091,1599817500.0,7
0,"2.071,4",80,14.091,1599818400.0,7
0,"2.071,4",80,14.091,1599819300.0,7
0,"2.071,4",80,14.091,1599820200.0,7
0,"2.071,4",80,14.091,1599821100.0,7
0,"2.071,4",80,14.091,1599822000.0,7
0,"2.071,4",80,14.091,1599822900.0,7
0,"2.071,4",80,14.091,1599823800.0,7
0,"2.071,4",80,14.091,1599824700.0,7
0,"2.071,4",80,14.091,1599825600.0,7
0,"2.071,4",80,14.091,1599826500.0,7
0,"2.071,4",80,14.091,1599827400.0,7
